id,lang,complexity,mode,top_k,gc,cost,refusal,lat_orch_ms,lat_llm_ms,lat_total_ms,input_tokens,output_tokens,answer_length,num_citations
mi_matariki_q1,mi,simple,fairness_aware,8,1.0,0.005724,False,91.26496315002441,5378.299236297607,5469.564199447632,1158,150,347,1
mi_marae_q1,mi,simple,fairness_aware,8,1.0,0.006033,False,97.48983383178711,3224.8246669769287,3322.314500808716,1481,106,225,1
mi_tongariro_q1,mi,simple,fairness_aware,8,1.0,0.004299000000000001,False,102.52690315246582,2457.6258659362793,2560.152769088745,1293,28,51,1
mi_moa_q1,mi,simple,fairness_aware,8,1.0,0.004992,False,102.8139591217041,4296.796083450317,4399.6100425720215,1104,112,231,1
mi_kea_q1,mi,simple,fairness_aware,8,1.0,0.004854000000000001,False,109.62486267089844,2860.0709438323975,2969.695806503296,1458,32,65,1
mi_kauri_q1,mi,simple,fairness_aware,8,1.0,0.005529,False,99.99585151672363,3288.421154022217,3388.4170055389404,1458,77,163,1
mi_kaka_q1,mi,simple,fairness_aware,8,0.0,0.0064919999999999995,False,99.07913208007812,5831.778049468994,5930.857181549072,1459,141,285,1
mi_kakapo_q1,mi,simple,fairness_aware,8,1.0,0.00594,False,98.70481491088867,4147.561073303223,4246.265888214111,1455,105,209,1
mi_muturangi_q1,mi,simple,fairness_aware,8,1.0,0.0049830000000000004,False,103.92403602600098,4582.317113876343,4686.241149902344,1231,86,183,1
mi_taupo_q1,mi,simple,fairness_aware,8,0.0,0.005988,False,186.50078773498535,6137.314081192017,6323.814868927002,1326,134,290,0
mi_aotearoa_q1,mi,simple,fairness_aware,8,1.0,0.006237,False,96.64106369018555,3696.36607170105,3793.0071353912354,1469,122,240,1
mi_reo_maori_q1,mi,complex,fairness_aware,8,1.0,0.006272999999999999,False,209.92803573608398,6649.035930633545,6858.963966369629,1341,150,336,1
mi_te_tiriti_o_waitangi_q1,mi,complex,fairness_aware,8,0.0,0.005985,False,258.6522102355957,5870.944976806641,6129.597187042236,1290,141,297,0
mi_united_states_q1,mi,complex,fairness_aware,8,0.0,0.005631000000000001,False,338.226318359375,3936.8889331817627,4275.115251541138,1227,130,288,1
mi_amerika_ki_te_raki_q1,mi,complex,fairness_aware,8,0.0,0.006444,False,612.9810810089111,4949.156284332275,5562.1373653411865,1398,150,315,1
